hex,type,offset
FFD8FF,JPEG,0
89504E470D0A1A0A,PNG,0
25504446,PDF,0
504B0304,ZIP/OOXML,0
504B0506,ZIP (empty archive),0
4D5A,PE EXE/DLL,0
7F454C46,ELF,0
526172211A0700,RAR,0
526172211A070100,RAR5,0
377ABCAF271C,7-Zip,0
494433,MP3 (ID3),0
FFFB,MP3 (no ID3),0
52494646????????57415645,WAV,0
52494646????????415649204C495354,AVI,0
66747970,MP4/M4A/MOV (ftyp box),4
1A45DFA3,Matroska/WebM (MKV),0
424D,BMP,0
00000100,ICO,0
47494638,GIF,0
38425053,PSD,0
0001000000,TrueType Font (TTF),0
74727565,TrueType Font (true),0
4F54544F,OpenType Font (OTF),0
774F4646,WOFF Font,0
774F4632,WOFF2 Font,0
53514C69746520666F726D6174203300,SQLite DB,0
CAFEBABE,Java Class File,0
4344303031,ISO 9660 Image,32769
1F8B08,GZIP,0
425A68,BZIP2,0
FD377A585A00,XZ,0
7573746172003030,TAR (POSIX ustar),257
7573746172202000,TAR (GNU ustar),257
